ID,images,time origin,amplitude,time delays,magnifications,redshift,noise level
0,1,55000.0,0.0461,[0],[1.9],1.2183,0.1253
1,2,55000.0,0.0464,[ 0.   12.74],[1.49 1.35],1.131,0.1588
2,3,55000.0,0.0864,[ 0.    7.3  19.61],[1.79 1.58 1.78],1.9652,0.0336
3,4,55000.0,0.0063,[ 0.   11.27 20.59 33.63],[1.9  1.47 1.49 1.28],1.6247,0.147
4,4,55000.0,0.0933,[ 0.   13.72 18.79 32.99],[1.84 1.59 1.1  1.22],1.5699,0.0925
5,2,55000.0,0.0213,[0.   8.71],[1.19 1.79],1.5924,0.1789
6,1,55000.0,0.0018,[0],[1.85],1.5522,0.018
7,1,55000.0,0.0225,[0],[1.59],1.5631,0.12
8,1,55000.0,0.0297,[0],[1.16],1.7985,0.0285
9,1,55000.0,0.0443,[0],[1.58],1.9278,0.1854
10,2,55000.0,0.0158,[ 0.   14.55],[1.45 1.96],1.0319,0.0086
11,3,55000.0,0.0431,[ 0.    5.83 15.27],[1.07 1.24 1.81],1.907,0.1498
12,1,55000.0,0.0916,[0],[1.38],1.0044,0.044
13,2,55000.0,0.0877,[ 0.  14.7],[1.71 1.25],1.8397,0.0225
14,1,55000.0,0.0824,[0],[1.96],1.4218,0.0612
15,3,55000.0,0.0645,[ 0.    6.42 15.79],[1.38 1.86 1.29],1.9967,0.0698
16,1,55000.0,0.061,[0],[1.63],1.6144,0.1305
17,2,55000.0,0.0648,[0.  8.6],[1.5  1.56],1.2495,0.0912
18,2,55000.0,0.0457,[0.   6.18],[1.18 1.59],1.319,0.1388
19,1,55000.0,0.0319,[0],[1.09],1.9074,0.0667
20,1,55000.0,0.0386,[0],[1.85],1.4886,0.1899
21,1,55000.0,0.0033,[0],[1.66],1.3929,0.0127
22,4,55000.0,0.0919,[ 0.   12.39 22.45 30.53],[1.31 1.81 1.73 1.13],1.0907,0.0685
23,1,55000.0,0.0282,[0],[1.1],1.474,0.0854
24,1,55000.0,0.0336,[0],[1.92],1.058,0.0965
25,1,55000.0,0.0238,[0],[1.41],1.3687,0.0528
26,3,55000.0,0.0921,[ 0.  10.7 19.9],[1.39 1.57 1.82],1.605,0.0533
27,1,55000.0,0.0002,[0],[1.1],1.8709,0.1411
28,1,55000.0,0.0146,[0],[1.47],1.7812,0.0303
29,4,55000.0,0.001,[ 0.   14.31 19.81 33.6 ],[1.68 1.23 1.24 1.91],1.1346,0.0273
30,4,55000.0,0.0143,[ 0.    8.48 13.74 25.39],[1.73 1.22 1.19 1.38],1.8584,0.0389
31,4,55000.0,0.0079,[ 0.    6.96 20.38 30.49],[1.91 1.05 1.71 1.6 ],1.4566,0.0076
